model,dataset,task,task_type,seed,n_trials,metric,device,selected,config,config_id,config_tag,val_score,test_score,fit_time_tuning,predict_time_tuning,fit_time_refit,predict_time_refit,error,val_average_precision,val_accuracy,val_f1,val_roc_auc,test_average_precision,test_accuracy,test_f1,test_roc_auc,val_r2,val_mae,val_rmse,test_r2,test_mae,test_rmse,kind,time_total
constant-global,rel-amazon,item-churn,BINARY_CLASSIFICATION,0,0,roc_auc,cpu,True,{},bf21a9e8,default,0.5,0.5,0.062216817000006586,0.00280752099999404,0.05121985499999937,0.003001845000000003,,0.41219208842415683,0.5878079115758432,0.0,0.5,0.3694932930557054,0.6305067069442946,0.0,0.5,,,,,,
constant-global,rel-amazon,item-ltv,REGRESSION,0,0,mae,cpu,True,{},bf21a9e8,default,59.4714964246787,64.23361282761559,0.041006704000011496,0.0005273630000033336,0.03784464199998183,0.0005951090000166914,,,,,,,,,,-0.01288853285998548,59.4714964246787,454.9198738732304,-0.007156998952209781,64.23361282761559,666.9863192392224
constant-global,rel-amazon,user-churn,BINARY_CLASSIFICATION,0,0,roc_auc,cpu,True,{},bf21a9e8,default,0.5,0.5,0.09934653599998455,0.004684490999977697,0.09891363900001693,0.004503112999998393,,0.6420281508667812,0.6420281508667812,0.7819940852145224,0.5,0.6064481293604445,0.6064481293604445,0.7550173806133189,0.5,,,,,,
constant-global,rel-amazon,user-ltv,REGRESSION,0,0,mae,cpu,True,{},bf21a9e8,default,14.1407152409027,16.78297941088708,0.033833395999977256,0.0010461159999977099,0.03045042900001249,0.0009903860000122222,,,,,,,,,,-0.08354221548121465,14.1407152409027,50.92620345868564,-0.09163441838452568,16.78297941088708,57.92664264129245
constant-global,rel-avito,ad-ctr,REGRESSION,0,0,mae,cpu,True,{},bf21a9e8,default,0.03986430192629505,0.04306655544415682,0.008269511000008833,7.117500000219934e-05,0.0006748879999918245,6.462700000042787e-05,,,,,,,,,,-0.09488492699862627,0.03986430192629505,0.10380083767535829,-0.09796910095474609,0.04306655544415682,0.11500362677205958
constant-global,rel-avito,user-clicks,BINARY_CLASSIFICATION,0,0,roc_auc,cpu,True,{},bf21a9e8,default,0.5,0.5,0.00707299300000841,0.00036336499999833904,0.0020628190000024915,0.000676294000001576,,0.03516971156115753,0.9648302884388424,0.0,0.5,0.015417951495957996,0.984582048504042,0.0,0.5,,,,,,
constant-global,rel-avito,user-visits,BINARY_CLASSIFICATION,0,0,roc_auc,cpu,True,{},bf21a9e8,default,0.5,0.5,0.009027686999999673,0.0005274530000036748,0.0028360109999994165,0.0005022550000006731,,0.9034991160479002,0.9034991160479002,0.949303425917813,0.5,0.8505909380276232,0.8505909380276232,0.9192641340113671,0.5,,,,,,
constant-global,rel-event,user-attendance,REGRESSION,0,0,mae,cpu,True,{},bf21a9e8,default,0.2575216726160122,0.2635342185903984,0.007937111000003938,7.334999999386582e-05,0.0007546759999996766,7.06490000084159e-05,,,,,,,,,,-0.24219772413439422,0.2575216726160122,0.5832088694589651,-0.16829320091827538,0.2635342185903984,0.694351940269542
constant-global,rel-event,user-ignore,BINARY_CLASSIFICATION,0,0,roc_auc,cpu,True,{},bf21a9e8,default,0.5,0.5,0.012096487000007983,0.00011492300001236799,0.001261905000006891,0.00012082799999291183,,0.10912799592044875,0.8908720040795512,0.0,0.5,0.1302349336057201,0.8697650663942799,0.0,0.5,,,,,,
constant-global,rel-event,user-repeat,BINARY_CLASSIFICATION,0,0,roc_auc,cpu,True,{},bf21a9e8,default,0.5,0.5,0.01083092000000363,8.92529999987346e-05,0.0005018469999953368,8.853199999236949e-05,,0.4790874524714829,0.5209125475285171,0.0,0.5,0.44715447154471544,0.5528455284552846,0.0,0.5,,,,,,
